iter	F1	Logloss
766	0.5202192574	0.437673003
767	0.5202124724	0.4375639118
768	0.5203476342	0.4374998781
769	0.5199213495	0.4374345885
770	0.5204137931	0.4373682162
771	0.5205309429	0.4373411819
772	0.5205640018	0.4373283652
773	0.5206480524	0.4372980548
774	0.5206810975	0.4372460825
775	0.5206329507	0.4371990947
776	0.5208067575	0.4371386749
777	0.5210587992	0.4370743711
778	0.5212835625	0.437023787
779	0.5212985939	0.4370231041
780	0.5216043002	0.4369535028
781	0.5216222735	0.4369354651
782	0.5214485064	0.4368729442
783	0.5213854903	0.4368222629
784	0.5213675214	0.4367747926
785	0.5213194995	0.436752281
786	0.5218619715	0.4366541809
787	0.5218589589	0.4366079246
788	0.5219278603	0.4365226803
789	0.5219937308	0.4365081351
790	0.522146449	0.4364534096
791	0.522197348	0.4363965223
792	0.5224009091	0.4363061276
793	0.5223829201	0.4362884292
794	0.5230112561	0.4362009424
795	0.5228407174	0.4361729838
796	0.5228915663	0.4360876069
797	0.522945571	0.4360324458
798	0.5229847457	0.4359226428
799	0.5233406775	0.4358558424
800	0.5237357568	0.4357818609
801	0.5238373894	0.4357363249
802	0.5236128322	0.4356583273
803	0.5235079507	0.4355890206
804	0.5237800262	0.4355508941
805	0.5241716272	0.435506414
806	0.5242731808	0.4354552643
807	0.5242224057	0.4353890494
808	0.5240045428	0.4353184819
809	0.5246318976	0.4352589621
810	0.5248348927	0.4352115536
811	0.5251642643	0.4351535885
812	0.5251642643	0.4351522772
813	0.5251461988	0.435146968
814	0.5251573409	0.4350620759
815	0.5250051592	0.434984476
816	0.5249544251	0.4349224857
817	0.5249905404	0.4348952274
818	0.524871001	0.4347885539
819	0.5248529462	0.4347809909
820	0.525273365	0.4347061711
821	0.5256789275	0.4346212849
822	0.5257622108	0.4345081147
823	0.5259468005	0.4344548355
824	0.5260155337	0.4344329889
825	0.525982953	0.4343725197
826	0.5262362118	0.4343290885
827	0.5262362118	0.4342717605
828	0.5262362118	0.4342690584
829	0.5262723805	0.4342261433
830	0.5262362118	0.4341383549
831	0.5265761897	0.4340398217
832	0.5266918585	0.4339782244
833	0.5267786595	0.4338725885
834	0.5267679197	0.4338365442
835	0.5268292683	0.4338200164
836	0.5268979732	0.4337809343
837	0.5268292683	0.4337747766
838	0.5270135669	0.4337126913
839	0.5271653273	0.4336761313
840	0.5271472235	0.4336439963
841	0.5273894975	0.4335482013
842	0.5275049791	0.4335103507
843	0.5272015387	0.4334522106
844	0.5273026994	0.4333711305
845	0.5273026994	0.4333696487
846	0.5274725275	0.4333663968
847	0.5276166283	0.4333243702
848	0.5279560666	0.4332689307
849	0.5283925202	0.4332059578
850	0.5281180305	0.4331323876
851	0.5283601551	0.4330775452
852	0.528320011	0.4330081295
853	0.5285479001	0.432959443
854	0.528620453	0.4329070223
855	0.5286346636	0.4328472317
856	0.5286528035	0.4328261107
857	0.5287679693	0.4327482866
858	0.5286268053	0.4326774039
859	0.5288105364	0.4326468854
860	0.5286086718	0.4326274786
861	0.5286914766	0.432589154
862	0.5288609939	0.4325634813
863	0.5288286743	0.4325435083
864	0.5292140996	0.4325043707
865	0.5292282374	0.4324419035
866	0.5292746469	0.4324004289
867	0.5292100933	0.4323357409
868	0.5292100933	0.4323228048
869	0.5292746469	0.4322790009
870	0.5297041582	0.4321946703
871	0.5298090438	0.4321486339
872	0.529671912	0.432062534
873	0.5297223174	0.4320448395
874	0.5299139438	0.4319772774
875	0.5301295674	0.4319337966
876	0.5303954492	0.4318759576
877	0.5305283355	0.4317864948
878	0.5308303645	0.4317319603
879	0.5312189609	0.4316515415
880	0.5311868471	0.431617015
881	0.5313013699	0.4315608421
